wedo	w-ewe-d-o
wezy	w-ewe-z-y
sunkyjkog	s-usu-n-k-y-j-k-o-g
baj	b-aba-j
fyqulwih	f-yfy-q-u-l-w-i-h
nervo	n-ene-r-v-o
jofem	j-ojo-f-e-m
fasfe	f-afa-s-f-e
vuz	v-uvu-z
taze	t-ata-z-e
qam	q-aqa-m
felo	f-efe-l-o
jovbet	j-ojo-v-b-e-t
lujec	l-ulu-j-e-c
nywvyfyk	n-yny-w-v-y-f-y-k
dury	d-udu-r-y
jigutsi	j-iji-g-u-t-s-i
lejvojqizusgo	l-ele-j-v-o-j-q-i-z-u-s-g-o
fysol	f-yfy-s-o-l
xip	x-ixi-p
rydrotgat	r-yry-d-r-o-t-g-a-t
keqlugyg	k-eke-q-l-u-g-y-g
reru	r-ere-r-u
baz	b-aba-z
calka	c-aca-l-k-a
merubsuv	m-eme-r-u-b-s-u-v
vefu	v-eve-f-u
zity	z-izi-t-y
mizzem	m-imi-z-z-e-m
cupej	c-ucu-p-e-j
faw	f-afa-w
dapip	d-ada-p-i-p
guge	g-ugu-g-e
cadysiv	c-aca-d-y-s-i-v
robewe	r-oro-b-e-w-e
wiguskah	w-iwi-g-u-s-k-a-h
qunufter	q-uqu-n-u-f-t-e-r
tirerkimugma	t-iti-r-e-r-k-i-m-u-g-m-a
typ	t-yty-p
bagah	b-aba-g-a-h
didbyceropy	d-idi-d-b-y-c-e-r-o-p-y
nikyko	n-ini-k-y-k-o
xihby	x-ixi-h-b-y
lyzakaf	l-yly-z-a-k-a-f
cuge	c-ucu-g-e
vykcamafwagnoc	v-yvy-k-c-a-m-a-f-w-a-g-n-o-c
rixomfem	r-iri-x-o-m-f-e-m
togarar	t-oto-g-a-r-a-r
cyvuq	c-ycy-v-u-q
kybcyhvunevkap	k-yky-b-c-y-h-v-u-n-e-v-k-a-p
nyqpuqxepvumtu	n-yny-q-p-u-q-x-e-p-v-u-m-t-u
poqjyf	p-opo-q-j-y-f
xixsez	x-ixi-x-s-e-z
kynvijy	k-yky-n-v-i-j-y
bymyr	b-yby-m-y-r
tonur	t-oto-n-u-r
rebgohsizylse	r-ere-b-g-o-h-s-i-z-y-l-s-e
jybut	j-yjy-b-u-t
bogfyva	b-obo-g-f-y-v-a
xonep	x-oxo-n-e-p
dehrolux	d-ede-h-r-o-l-u-x
qiliw	q-iqi-l-i-w
tadfu	t-ata-d-f-u
mukelifxa	m-umu-k-e-l-i-f-x-a
jomoq	j-ojo-m-o-q
modbyh	m-omo-d-b-y-h
loh	l-olo-h
nerij	n-ene-r-i-j
fuwa	f-ufu-w-a
zysdawixdunpov	z-yzy-s-d-a-w-i-x-d-u-n-p-o-v
daqfagry	d-ada-q-f-a-g-r-y
waslad	w-awa-s-l-a-d
rubqo	r-uru-b-q-o
vacsitfutsac	v-ava-c-s-i-t-f-u-t-s-a-c
ponapbod	p-opo-n-a-p-b-o-d
pame	p-apa-m-e
viw	v-ivi-w
lorju	l-olo-r-j-u
hihyg	h-ihi-h-y-g
jepkado	j-eje-p-k-a-d-o
vuwtapsif	v-uvu-w-t-a-p-s-i-f
lexymacagpuz	l-ele-x-y-m-a-c-a-g-p-u-z
sokuvyr	s-oso-k-u-v-y-r
tasatqoqsi	t-ata-s-a-t-q-o-q-s-i
mohupeg	m-omo-h-u-p-e-g
gomgymogtykroh	g-ogo-m-g-y-m-o-g-t-y-k-r-o-h
giwi	g-igi-w-i
pum	p-upu-m
faviq	f-afa-v-i-q
nabce	n-ana-b-c-e
mohzubipuza	m-omo-h-z-u-b-i-p-u-z-a
dicdytrigzize	d-idi-c-d-y-t-r-i-g-z-i-z-e
qiqykfasciqby	q-iqi-q-y-k-f-a-s-c-i-q-b-y
fowovy	f-ofo-w-o-v-y
vukku	v-uvu-k-k-u
gaquq	g-aga-q-u-q
mapypur	m-ama-p-y-p-u-r
gyczydumiqcy	g-ygy-c-z-y-d-u-m-i-q-c-y
tyr	t-yty-r
fymy	f-yfy-m-y
balfa	b-aba-l-f-a
gen	g-ege-n
lebonehdalvu	l-ele-b-o-n-e-h-d-a-l-v-u
kijzaqybo	k-iki-j-z-a-q-y-b-o
dununwe	d-udu-n-u-n-w-e
cezpohi	c-ece-z-p-o-h-i
fusez	f-ufu-s-e-z
vegwijjuqkypsa	v-eve-g-w-i-j-j-u-q-k-y-p-s-a
sojqex	s-oso-j-q-e-x
diguwgoj	d-idi-g-u-w-g-o-j
kykhetza	k-yky-k-h-e-t-z-a
zamcid	z-aza-m-c-i-d
nurhatju	n-unu-r-h-a-t-j-u
laz	l-ala-z
feb	f-efe-b
fervyj	f-efe-r-v-y-j
cidpik	c-ici-d-p-i-k
mugkejineguj	m-umu-g-k-e-j-i-n-e-g-u-j
kovy	k-oko-v-y
wybu	w-ywy-b-u
zugibzek	z-uzu-g-i-b-z-e-k
nynyd	n-yny-n-y-d
cosykyrax	c-oco-s-y-k-y-r-a-x
qozad	q-oqo-z-a-d
zefwe	z-eze-f-w-e
xybyb	x-yxy-b-y-b
hymuf	h-yhy-m-u-f
lenoxobnixre	l-ele-n-o-x-o-b-n-i-x-r-e
zoh	z-ozo-h
qobyrekud	q-oqo-b-y-r-e-k-u-d
xubinmelobny	x-uxu-b-i-n-m-e-l-o-b-n-y
zelnyxvimibva	z-eze-l-n-y-x-v-i-m-i-b-v-a
pilxat	p-ipi-l-x-a-t
jabig	j-aja-b-i-g
zygigbus	z-yzy-g-i-g-b-u-s
mihu	m-imi-h-u
qoj	q-oqo-j
pujvycirtuf	p-upu-j-v-y-c-i-r-t-u-f
wuvem	w-uwu-v-e-m
covud	c-oco-v-u-d
zytys	z-yzy-t-y-s
nydri	n-yny-d-r-i
fihvah	f-ifi-h-v-a-h
kotujemirxy	k-oko-t-u-j-e-m-i-r-x-y
pijocig	p-ipi-j-o-c-i-g
lyxwaq	l-yly-x-w-a-q
posxi	p-opo-s-x-i
mygelryxin	m-ymy-g-e-l-r-y-x-i-n
suhirorekbez	s-usu-h-i-r-o-r-e-k-b-e-z
vorbirgen	v-ovo-r-b-i-r-g-e-n
fuvrofta	f-ufu-v-r-o-f-t-a
cycem	c-ycy-c-e-m
zewcap	z-eze-w-c-a-p
qatvorcasykol	q-aqa-t-v-o-r-c-a-s-y-k-o-l
cewi	c-ece-w-i
ginhekug	g-igi-n-h-e-k-u-g
jin	j-iji-n
xeca	x-exe-c-a
zahac	z-aza-h-a-c
fuwywjaf	f-ufu-w-y-w-j-a-f
xalihnyw	x-axa-l-i-h-n-y-w
dinew	d-idi-n-e-w
rakup	r-ara-k-u-p
hyjmumwes	h-yhy-j-m-u-m-w-e-s
tybwo	t-yty-b-w-o
rinwikfaduw	r-iri-n-w-i-k-f-a-d-u-w
zavycxaz	z-aza-v-y-c-x-a-z
fusdi	f-ufu-s-d-i
dywes	d-ydy-w-e-s
gywi	g-ygy-w-i
qezxesquw	q-eqe-z-x-e-s-q-u-w
vohefvij	v-ovo-h-e-f-v-i-j
setqigjonbaf	s-ese-t-q-i-g-j-o-n-b-a-f
poguroh	p-opo-g-u-r-o-h
dobur	d-odo-b-u-r
her	h-ehe-r
gaxu	g-aga-x-u
sikdejlijwekho	s-isi-k-d-e-j-l-i-j-w-e-k-h-o
cer	c-ece-r
vylduqpy	v-yvy-l-d-u-q-p-y
fef	f-efe-f
fulesdij	f-ufu-l-e-s-d-i-j
dad	d-ada-d
jifur	j-iji-f-u-r
tevesbozi	t-ete-v-e-s-b-o-z-i
refodovmo	r-ere-f-o-d-o-v-m-o
lurqozqa	l-ulu-r-q-o-z-q-a
jux	j-uju-x
ninjyziqefwox	n-ini-n-j-y-z-i-q-e-f-w-o-x
sanigym	s-asa-n-i-g-y-m
zyksazlytke	z-yzy-k-s-a-z-l-y-t-k-e
jaxpoclihcyw	j-aja-x-p-o-c-l-i-h-c-y-w
rogper	r-oro-g-p-e-r
xoqbyc	x-oxo-q-b-y-c
haxe	h-aha-x-e
vehofakfyndi	v-eve-h-o-f-a-k-f-y-n-d-i
zy	z-yzy
fysvumlukatxy	f-yfy-s-v-u-m-l-u-k-a-t-x-y
noti	n-ono-t-i
tedup	t-ete-d-u-p
wynufor	w-ywy-n-u-f-o-r
bobqu	b-obo-b-q-u
wypetjonxa	w-ywy-p-e-t-j-o-n-x-a
july	j-uju-l-y
wonirvubiq	w-owo-n-i-r-v-u-b-i-q
zamuwexbovew	z-aza-m-u-w-e-x-b-o-v-e-w
codyh	c-oco-d-y-h
juk	j-uju-k
jytmikjo	j-yjy-t-m-i-k-j-o
giqyqqexbabjor	g-igi-q-y-q-q-e-x-b-a-b-j-o-r
favi	f-afa-v-i
jan	j-aja-n
sobrek	s-oso-b-r-e-k
byscyw	b-yby-s-c-y-w
loq	l-olo-q
cehekgomy	c-ece-h-e-k-g-o-m-y
puxipe	p-upu-x-i-p-e
jijijvyc	j-iji-j-i-j-v-y-c
hyxsic	h-yhy-x-s-i-c
lybmacejyz	l-yly-b-m-a-c-e-j-y-z
hussejegy	h-uhu-s-s-e-j-e-g-y
kuxoxguf	k-uku-x-o-x-g-u-f
lagajiw	l-ala-g-a-j-i-w
remxy	r-ere-m-x-y
voq	v-ovo-q
howninvin	h-oho-w-n-i-n-v-i-n
qyca	q-yqy-c-a
tylow	t-yty-l-o-w
nibdod	n-ini-b-d-o-d
wajlo	w-awa-j-l-o
wimpexelyrab	w-iwi-m-p-e-x-e-l-y-r-a-b
wawimu	w-awa-w-i-m-u
nanjukrumuwok	n-ana-n-j-u-k-r-u-m-u-w-o-k
qyhvad	q-yqy-h-v-a-d
cobelxevyget	c-oco-b-e-l-x-e-v-y-g-e-t
maq	m-ama-q
qimiq	q-iqi-m-i-q
nywi	n-yny-w-i
hunafduh	h-uhu-n-a-f-d-u-h
sypsiwul	s-ysy-p-s-i-w-u-l
viwfu	v-ivi-w-f-u
cozavvubpep	c-oco-z-a-v-v-u-b-p-e-p
pyqfef	p-ypy-q-f-e-f
wizlilewloda	w-iwi-z-l-i-l-e-w-l-o-d-a
cevqatas	c-ece-v-q-a-t-a-s
vy	v-yvy
siqkebda	s-isi-q-k-e-b-d-a
byzyc	b-yby-z-y-c
xyki	x-yxy-k-i
mesar	m-eme-s-a-r
girpi	g-igi-r-p-i
topvucjur	t-oto-p-v-u-c-j-u-r
gyqlol	g-ygy-q-l-o-l
hesciwfudsew	h-ehe-s-c-i-w-f-u-d-s-e-w
sylytetrofbaf	s-ysy-l-y-t-e-t-r-o-f-b-a-f
fovex	f-ofo-v-e-x
cice	c-ici-c-e
pempe	p-epe-m-p-e
pi	p-ipi
gaw	g-aga-w
cokli	c-oco-k-l-i
macnudzof	m-ama-c-n-u-d-z-o-f
bawahcos	b-aba-w-a-h-c-o-s
civyqop	c-ici-v-y-q-o-p
temoxaguglih	t-ete-m-o-x-a-g-u-g-l-i-h
xukhe	x-uxu-k-h-e
liku	l-ili-k-u
wavruterudra	w-awa-v-r-u-t-e-r-u-d-r-a
jot	j-ojo-t
pyzaghu	p-ypy-z-a-g-h-u
dozfudpuhsi	d-odo-z-f-u-d-p-u-h-s-i
zusgewi	z-uzu-s-g-e-w-i
lyla	l-yly-l-a
gys	g-ygy-s
fikitijvob	f-ifi-k-i-t-i-j-v-o-b
tytemid	t-yty-t-e-m-i-d
xezujzylunxi	x-exe-z-u-j-z-y-l-u-n-x-i
hudrypixce	h-uhu-d-r-y-p-i-x-c-e
nijo	n-ini-j-o
loc	l-olo-c
pykur	p-ypy-k-u-r
zeprijevwy	z-eze-p-r-i-j-e-v-w-y
gusujy	g-ugu-s-u-j-y
fybos	f-yfy-b-o-s
vurfalygoz	v-uvu-r-f-a-l-y-g-o-z
lyrxa	l-yly-r-x-a
caboknaxku	c-aca-b-o-k-n-a-x-k-u
qas	q-aqa-s
ful	f-ufu-l
libqoqhi	l-ili-b-q-o-q-h-i
gym	g-ygy-m
lymoc	l-yly-m-o-c
conatpy	c-oco-n-a-t-p-y
patyf	p-apa-t-y-f
gaguzgyntugy	g-aga-g-u-z-g-y-n-t-u-g-y
xohhiktanundun	x-oxo-h-h-i-k-t-a-n-u-n-d-u-n
pufo	p-upu-f-o
ca	c-aca
faxru	f-afa-x-r-u
komex	k-oko-m-e-x
hedwew	h-ehe-d-w-e-w
dez	d-ede-z
tolnofcoj	t-oto-l-n-o-f-c-o-j
lixyf	l-ili-x-y-f
zabrora	z-aza-b-r-o-r-a
mytuqu	m-ymy-t-u-q-u
xazizo	x-axa-z-i-z-o
xoxjag	x-oxo-x-j-a-g
landanwyhfoz	l-ala-n-d-a-n-w-y-h-f-o-z
xo	x-oxo
nagavikyqvav	n-ana-g-a-v-i-k-y-q-v-a-v
jorgol	j-ojo-r-g-o-l
horwy	h-oho-r-w-y
pajaq	p-apa-j-a-q
gytze	g-ygy-t-z-e
xujel	x-uxu-j-e-l
filgoh	f-ifi-l-g-o-h
qoxsuv	q-oqo-x-s-u-v
zylfy	z-yzy-l-f-y
muwun	m-umu-w-u-n
xygap	x-yxy-g-a-p
syttun	s-ysy-t-t-u-n
wihel	w-iwi-h-e-l
cawsycuntenu	c-aca-w-s-y-c-u-n-t-e-n-u
qynyduk	q-yqy-n-y-d-u-k
hagylaxy	h-aha-g-y-l-a-x-y
hukow	h-uhu-k-o-w
sulmo	s-usu-l-m-o
vojildumixbar	v-ovo-j-i-l-d-u-m-i-x-b-a-r
pikma	p-ipi-k-m-a
devi	d-ede-v-i
hinujy	h-ihi-n-u-j-y
wosxep	w-owo-s-x-e-p
rykwozez	r-yry-k-w-o-z-e-z
waw	w-awa-w
bydurnaj	b-yby-d-u-r-n-a-j
xipavwuniwvu	x-ixi-p-a-v-w-u-n-i-w-v-u
sibeh	s-isi-b-e-h
syhmot	s-ysy-h-m-o-t
vygce	v-yvy-g-c-e
cydcy	c-ycy-d-c-y
silu	s-isi-l-u
jolul	j-ojo-l-u-l
nohy	n-ono-h-y
nocuvifqagva	n-ono-c-u-v-i-f-q-a-g-v-a
galwym	g-aga-l-w-y-m
fowyz	f-ofo-w-y-z
wozuzsax	w-owo-z-u-z-s-a-x
kykuzo	k-yky-k-u-z-o
qijib	q-iqi-j-i-b
vyjoq	v-yvy-j-o-q
xujqagu	x-uxu-j-q-a-g-u
byfixi	b-yby-f-i-x-i
gafy	g-aga-f-y
na	n-ana
gyk	g-ygy-k
kucenolyrlup	k-uku-c-e-n-o-l-y-r-l-u-p
wunrewo	w-uwu-n-r-e-w-o
cuhxitpuldez	c-ucu-h-x-i-t-p-u-l-d-e-z
vijcyge	v-ivi-j-c-y-g-e
hejy	h-ehe-j-y
luffyl	l-ulu-f-f-y-l
sydkizugiqtil	s-ysy-d-k-i-z-u-g-i-q-t-i-l
bycbojywesi	b-yby-c-b-o-j-y-w-e-s-i
bompyh	b-obo-m-p-y-h
nofag	n-ono-f-a-g
bofna	b-obo-f-n-a
fyhyj	f-yfy-h-y-j
ked	k-eke-d
dybed	d-ydy-b-e-d
masosi	m-ama-s-o-s-i
lalrytqyznyqu	l-ala-l-r-y-t-q-y-z-n-y-q-u
xufikdujun	x-uxu-f-i-k-d-u-j-u-n
gute	g-ugu-t-e
zushef	z-uzu-s-h-e-f
vat	v-ava-t
xekfu	x-exe-k-f-u
kipewzih	k-iki-p-e-w-z-i-h
fivopidla	f-ifi-v-o-p-i-d-l-a
bapymnipy	b-aba-p-y-m-n-i-p-y
molni	m-omo-l-n-i
loglyt	l-olo-g-l-y-t
xyto	x-yxy-t-o
qiz	q-iqi-z
doca	d-odo-c-a
zacviqi	z-aza-c-v-i-q-i
kum	k-uku-m
law	l-ala-w
gogpu	g-ogo-g-p-u
morrom	m-omo-r-r-o-m
hiscoza	h-ihi-s-c-o-z-a
bapmiq	b-aba-p-m-i-q
gybnifu	g-ygy-b-n-i-f-u
dyb	d-ydy-b
ryrqe	r-yry-r-q-e
zohgiko	z-ozo-h-g-i-k-o
sytvyv	s-ysy-t-v-y-v
codjylaz	c-oco-d-j-y-l-a-z
gikguvku	g-igi-k-g-u-v-k-u
luzyzafhicra	l-ulu-z-y-z-a-f-h-i-c-r-a
jewdikho	j-eje-w-d-i-k-h-o
datvociwirjoc	d-ada-t-v-o-c-i-w-i-r-j-o-c
xuludmi	x-uxu-l-u-d-m-i
gumbipcele	g-ugu-m-b-i-p-c-e-l-e
dibi	d-idi-b-i
jaqu	j-aja-q-u
red	r-ere-d
fukqy	f-ufu-k-q-y
kixvy	k-iki-x-v-y
cox	c-oco-x
pecbar	p-epe-c-b-a-r
vyp	v-yvy-p
pyge	p-ypy-g-e
qibutqi	q-iqi-b-u-t-q-i
vumecodopfon	v-uvu-m-e-c-o-d-o-p-f-o-n
cojpa	c-oco-j-p-a
cerjeh	c-ece-r-j-e-h
vymsonhy	v-yvy-m-s-o-n-h-y
dil	d-idi-l
zobzukem	z-ozo-b-z-u-k-e-m
hiqcut	h-ihi-q-c-u-t
moxysy	m-omo-x-y-s-y
navla	n-ana-v-l-a
gokqaf	g-ogo-k-q-a-f
zef	z-eze-f
pewwu	p-epe-w-w-u
wigubto	w-iwi-g-u-b-t-o
fy	f-yfy
foxossugxy	f-ofo-x-o-s-s-u-g-x-y
futi	f-ufu-t-i
tesi	t-ete-s-i
cikavvyk	c-ici-k-a-v-v-y-k
tamin	t-ata-m-i-n
gijus	g-igi-j-u-s
zulub	z-uzu-l-u-b
kavowe	k-aka-v-o-w-e
mytne	m-ymy-t-n-e
facxuk	f-afa-c-x-u-k
gazwuw	g-aga-z-w-u-w
zykqulyhjac	z-yzy-k-q-u-l-y-h-j-a-c
myp	m-ymy-p
hewemjuzyxeb	h-ehe-w-e-m-j-u-z-y-x-e-b
tyboz	t-yty-b-o-z
narewhipmax	n-ana-r-e-w-h-i-p-m-a-x
quqe	q-uqu-q-e
xupuzyb	x-uxu-p-u-z-y-b
muznaryk	m-umu-z-n-a-r-y-k
nuqewvice	n-unu-q-e-w-v-i-c-e
vasam	v-ava-s-a-m
nucsacyqvupdah	n-unu-c-s-a-c-y-q-v-u-p-d-a-h
buwutquqeqyn	b-ubu-w-u-t-q-u-q-e-q-y-n
zodwef	z-ozo-d-w-e-f
fadu	f-afa-d-u
hesxof	h-ehe-s-x-o-f
vujwowhexakzef	v-uvu-j-w-o-w-h-e-x-a-k-z-e-f
sujfa	s-usu-j-f-a
sywzazu	s-ysy-w-z-a-z-u
jedburecri	j-eje-d-b-u-r-e-c-r-i
cadi	c-aca-d-i
qyxnuxlaq	q-yqy-x-n-u-x-l-a-q
cimowix	c-ici-m-o-w-i-x
dijyv	d-idi-j-y-v
domizik	d-odo-m-i-z-i-k
faxtohnig	f-afa-x-t-o-h-n-i-g
bihyb	b-ibi-h-y-b
roliw	r-oro-l-i-w
bi	b-ibi
kotsyb	k-oko-t-s-y-b
jihukikryg	j-iji-h-u-k-i-k-r-y-g
gefagezyv	g-ege-f-a-g-e-z-y-v
depgec	d-ede-p-g-e-c
tygmoggogigoz	t-yty-g-m-o-g-g-o-g-i-g-o-z
gyf	g-ygy-f
jijsifjip	j-iji-j-s-i-f-j-i-p
dycwaj	d-ydy-c-w-a-j
visobja	v-ivi-s-o-b-j-a
jytyk	j-yjy-t-y-k
zaseqbem	z-aza-s-e-q-b-e-m
pijy	p-ipi-j-y
serez	s-ese-r-e-z
piqmym	p-ipi-q-m-y-m
liqmyd	l-ili-q-m-y-d
cyn	c-ycy-n
sihdufy	s-isi-h-d-u-f-y
venpy	v-eve-n-p-y
lujmibudorjyr	l-ulu-j-m-i-b-u-d-o-r-j-y-r
coqwyprazno	c-oco-q-w-y-p-r-a-z-n-o
rimqihizmesvo	r-iri-m-q-i-h-i-z-m-e-s-v-o
hetqykpiqpuc	h-ehe-t-q-y-k-p-i-q-p-u-c
nokym	n-ono-k-y-m
xavuzu	x-axa-v-u-z-u
gyhwat	g-ygy-h-w-a-t
kefvopbu	k-eke-f-v-o-p-b-u
jyg	j-yjy-g
wacruwlowka	w-awa-c-r-u-w-l-o-w-k-a
sapisi	s-asa-p-i-s-i
buci	b-ubu-c-i
micvirorfafsys	m-imi-c-v-i-r-o-r-f-a-f-s-y-s
kapox	k-aka-p-o-x
tazfy	t-ata-z-f-y
nedu	n-ene-d-u
jusi	j-uju-s-i
bahymel	b-aba-h-y-m-e-l
riby	r-iri-b-y
xonwozuguj	x-oxo-n-w-o-z-u-g-u-j
jocba	j-ojo-c-b-a
somcac	s-oso-m-c-a-c
hilfeq	h-ihi-l-f-e-q
xubevasafym	x-uxu-b-e-v-a-s-a-f-y-m
tuzag	t-utu-z-a-g
hoxpyqubry	h-oho-x-p-y-q-u-b-r-y
dodi	d-odo-d-i
fyd	f-yfy-d
cuwremep	c-ucu-w-r-e-m-e-p
hilorsingiwal	h-ihi-l-o-r-s-i-n-g-i-w-a-l
pusob	p-upu-s-o-b
suxti	s-usu-x-t-i
bulyv	b-ubu-l-y-v
damekfu	d-ada-m-e-k-f-u
rugu	r-uru-g-u
qegypa	q-eqe-g-y-p-a
xidu	x-ixi-d-u
pymecse	p-ypy-m-e-c-s-e
giqceg	g-igi-q-c-e-g
hafykapofow	h-aha-f-y-k-a-p-o-f-o-w
zirewjem	z-izi-r-e-w-j-e-m
fomiv	f-ofo-m-i-v
lywponokeg	l-yly-w-p-o-n-o-k-e-g
riplak	r-iri-p-l-a-k
siwhew	s-isi-w-h-e-w
qyfoj	q-yqy-f-o-j
bojor	b-obo-j-o-r
fuwnelogduwga	f-ufu-w-n-e-l-o-g-d-u-w-g-a
qachylisdyjsyk	q-aqa-c-h-y-l-i-s-d-y-j-s-y-k
kuksylu	k-uku-k-s-y-l-u
deg	d-ede-g
gesyflyn	g-ege-s-y-f-l-y-n
sekyl	s-ese-k-y-l
sywec	s-ysy-w-e-c
teholnipy	t-ete-h-o-l-n-i-p-y
vityd	v-ivi-t-y-d
nidwewqadeqgew	n-ini-d-w-e-w-q-a-d-e-q-g-e-w
joxzy	j-ojo-x-z-y
biluz	b-ibi-l-u-z
dikicvol	d-idi-k-i-c-v-o-l
go	g-ogo
di	d-idi
zerku	z-eze-r-k-u
pohcad	p-opo-h-c-a-d
wenil	w-ewe-n-i-l
gokxocogebtej	g-ogo-k-x-o-c-o-g-e-b-t-e-j
tuk	t-utu-k
ciricu	c-ici-r-i-c-u
nizvynedjel	n-ini-z-v-y-n-e-d-j-e-l
woj	w-owo-j
wafa	w-awa-f-a
jiqlopcyroqwir	j-iji-q-l-o-p-c-y-r-o-q-w-i-r
zom	z-ozo-m
tutdowuc	t-utu-t-d-o-w-u-c
jygxebrimmor	j-yjy-g-x-e-b-r-i-m-m-o-r
toryse	t-oto-r-y-s-e
zolpo	z-ozo-l-p-o
xidi	x-ixi-d-i
hysi	h-yhy-s-i
piry	p-ipi-r-y
ziwiwo	z-izi-w-i-w-o
xarpeztyli	x-axa-r-p-e-z-t-y-l-i
jihpu	j-iji-h-p-u
fixxe	f-ifi-x-x-e
puhzi	p-upu-h-z-i
pirqux	p-ipi-r-q-u-x
mag	m-ama-g
teqip	t-ete-q-i-p
xuvob	x-uxu-v-o-b
hopoj	h-oho-p-o-j
hap	h-aha-p
hilynib	h-ihi-l-y-n-i-b
qeqetuk	q-eqe-q-e-t-u-k
hectar	h-ehe-c-t-a-r
syro	s-ysy-r-o
gutu	g-ugu-t-u
pytvomxow	p-ypy-t-v-o-m-x-o-w
fajipjy	f-afa-j-i-p-j-y
jorofeg	j-ojo-r-o-f-e-g
jenu	j-eje-n-u
rohep	r-oro-h-e-p
pox	p-opo-x
sexmi	s-ese-x-m-i
xufugbel	x-uxu-f-u-g-b-e-l
doljuk	d-odo-l-j-u-k
togoz	t-oto-g-o-z
jalax	j-aja-l-a-x
cygvim	c-ycy-g-v-i-m
xaqfic	x-axa-q-f-i-c
zexebfus	z-eze-x-e-b-f-u-s
malpybok	m-ama-l-p-y-b-o-k
gaxuj	g-aga-x-u-j
fah	f-afa-h
cometfutvylav	c-oco-m-e-t-f-u-t-v-y-l-a-v
juppy	j-uju-p-p-y
kobedde	k-oko-b-e-d-d-e
myq	m-ymy-q
lemhagybzazxoz	l-ele-m-h-a-g-y-b-z-a-z-x-o-z
zymneputwobe	z-yzy-m-n-e-p-u-t-w-o-b-e
sew	s-ese-w
zikfac	z-izi-k-f-a-c
jygqihi	j-yjy-g-q-i-h-i
zanjej	z-aza-n-j-e-j
wonmik	w-owo-n-m-i-k
lamgom	l-ala-m-g-o-m
rigi	r-iri-g-i
tylducegiqpiz	t-yty-l-d-u-c-e-g-i-q-p-i-z
lulsis	l-ulu-l-s-i-s
nohladdoz	n-ono-h-l-a-d-d-o-z
dar	d-ada-r
subiv	s-usu-b-i-v
fijy	f-ifi-j-y
fera	f-efe-r-a
soxedorah	s-oso-x-e-d-o-r-a-h
xepdafkydja	x-exe-p-d-a-f-k-y-d-j-a
ryqtoz	r-yry-q-t-o-z
qicgom	q-iqi-c-g-o-m
xodgyp	x-oxo-d-g-y-p
kumpy	k-uku-m-p-y
zi	z-izi
vufragqolpefzit	v-uvu-f-r-a-g-q-o-l-p-e-f-z-i-t
tubub	t-utu-b-u-b
gikfebru	g-igi-k-f-e-b-r-u
son	s-oso-n
wusurowohaz	w-uwu-s-u-r-o-w-o-h-a-z
nagcihvocovzy	n-ana-g-c-i-h-v-o-c-o-v-z-y
xasliza	x-axa-s-l-i-z-a
kexzopcos	k-eke-x-z-o-p-c-o-s
tu	t-utu
codu	c-oco-d-u
po	p-opo
robkompeblacu	r-oro-b-k-o-m-p-e-b-l-a-c-u
raxkewcilcodfon	r-ara-x-k-e-w-c-i-l-c-o-d-f-o-n
kyz	k-yky-z
kor	k-oko-r
jemfyhqebaxwa	j-eje-m-f-y-h-q-e-b-a-x-w-a
jolfikulucjug	j-ojo-l-f-i-k-u-l-u-c-j-u-g
vagerob	v-ava-g-e-r-o-b
bapu	b-aba-p-u
hoqa	h-oho-q-a
sipwoj	s-isi-p-w-o-j
fogxonynly	f-ofo-g-x-o-n-y-n-l-y
zupo	z-uzu-p-o
jyl	j-yjy-l
cyv	c-ycy-v
gytvatju	g-ygy-t-v-a-t-j-u
cabup	c-aca-b-u-p
lo	l-olo
jadamjigeg	j-aja-d-a-m-j-i-g-e-g
tibiknoryhfo	t-iti-b-i-k-n-o-r-y-h-f-o
sywkiqil	s-ysy-w-k-i-q-i-l
lijog	l-ili-j-o-g
kigax	k-iki-g-a-x
gakyz	g-aga-k-y-z
kamysnu	k-aka-m-y-s-n-u
mytwyl	m-ymy-t-w-y-l
lasbinfyhke	l-ala-s-b-i-n-f-y-h-k-e
fodxewo	f-ofo-d-x-e-w-o
sodix	s-oso-d-i-x
qoxwiz	q-oqo-x-w-i-z
quronfi	q-uqu-r-o-n-f-i
jesiw	j-eje-s-i-w
raqybnejago	r-ara-q-y-b-n-e-j-a-g-o
rucoz	r-uru-c-o-z
qycafyggil	q-yqy-c-a-f-y-g-g-i-l
wamipithav	w-awa-m-i-p-i-t-h-a-v
vawxuga	v-ava-w-x-u-g-a
berdafnyxwe	b-ebe-r-d-a-f-n-y-x-w-e
hecin	h-ehe-c-i-n
xyqrysmyxyv	x-yxy-q-r-y-s-m-y-x-y-v
xotani	x-oxo-t-a-n-i
myxbitfo	m-ymy-x-b-i-t-f-o
pijyc	p-ipi-j-y-c
mihwecaxepu	m-imi-h-w-e-c-a-x-e-p-u
lanyt	l-ala-n-y-t
janhinxelgoje	j-aja-n-h-i-n-x-e-l-g-o-j-e
nozse	n-ono-z-s-e
kacac	k-aka-c-a-c
nulawkopol	n-unu-l-a-w-k-o-p-o-l
pazqalduw	p-apa-z-q-a-l-d-u-w
qadavi	q-aqa-d-a-v-i
xywacum	x-yxy-w-a-c-u-m
wesywozqozwob	w-ewe-s-y-w-o-z-q-o-z-w-o-b
nurged	n-unu-r-g-e-d
henmiw	h-ehe-n-m-i-w
